Date : 2022-11-29 02:17:54
Directory : /home/orinda/Documents/dev/nancy-appraisal
Total : 111 files,  12723 codes, 504 comments, 1652 blanks, all 14879 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| YAML               |          4 |      8,155 |          3 |      1,168 |      9,326 |
| TypeScript React   |         50 |      2,790 |        111 |        299 |      3,200 |
| JavaScript         |         33 |      1,256 |        377 |        149 |      1,782 |
| JSON with Comments |          3 |        213 |          0 |          2 |        215 |
| JSON               |          7 |        164 |          0 |          5 |        169 |
| TypeScript         |          6 |         60 |          3 |         16 |         79 |
| Shell Script       |          1 |         40 |          9 |          3 |         52 |
| CSS                |          1 |         19 |          1 |          5 |         25 |
| HTML               |          1 |         13 |          0 |          1 |         14 |
| Markdown           |          3 |         11 |          0 |          4 |         15 |
| XML                |          2 |          2 |          0 |          0 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                              | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                 |        111 |     12,723 |        504 |      1,652 |     14,879 |
| components                                                                                        |          5 |         71 |          5 |          7 |         83 |
| components/component2                                                                             |          3 |         55 |          0 |          5 |         60 |
| components/component2/src                                                                         |          1 |         14 |          0 |          3 |         17 |
| components/test-component                                                                         |          2 |         16 |          5 |          2 |         23 |
| packages                                                                                          |        100 |      8,269 |        487 |      1,021 |      9,777 |
| packages/bc                                                                                       |         33 |      2,729 |        370 |        343 |      3,442 |
| packages/bc/src                                                                                   |         29 |      1,210 |        363 |        143 |      1,716 |
| packages/bc/src/api                                                                               |          1 |         28 |         12 |          4 |         44 |
| packages/bc/src/config                                                                            |          1 |         14 |          7 |          1 |         22 |
| packages/bc/src/db                                                                                |          1 |         35 |          7 |          5 |         47 |
| packages/bc/src/errors                                                                            |          2 |         55 |          6 |          6 |         67 |
| packages/bc/src/logger                                                                            |          1 |        160 |          8 |          8 |        176 |
| packages/bc/src/mailer                                                                            |          1 |         40 |          8 |          5 |         53 |
| packages/bc/src/middlewares                                                                       |          2 |        119 |         63 |         10 |        192 |
| packages/bc/src/migrate                                                                           |          1 |         37 |         10 |          5 |         52 |
| packages/bc/src/models                                                                            |          6 |        204 |          7 |         17 |        228 |
| packages/bc/src/routes                                                                            |          7 |        446 |        183 |         63 |        692 |
| packages/bc/src/utils                                                                             |          4 |         41 |         30 |         10 |         81 |
| packages/ui                                                                                       |         67 |      5,540 |        117 |        678 |      6,335 |
| packages/ui/public                                                                                |          1 |          1 |          0 |          0 |          1 |
| packages/ui/src                                                                                   |         55 |      2,839 |        114 |        312 |      3,265 |
| packages/ui/src/api                                                                               |          1 |          8 |          1 |          2 |         11 |
| packages/ui/src/assets                                                                            |          1 |          1 |          0 |          0 |          1 |
| packages/ui/src/components                                                                        |         11 |        355 |          1 |         52 |        408 |
| packages/ui/src/data                                                                              |          2 |        122 |          0 |          7 |        129 |
| packages/ui/src/helpers                                                                           |          1 |         10 |          0 |          4 |         14 |
| packages/ui/src/layouts                                                                           |          2 |         32 |          0 |          8 |         40 |
| packages/ui/src/router                                                                            |          2 |        115 |          3 |          6 |        124 |
| packages/ui/src/state                                                                             |         11 |        443 |         79 |         82 |        604 |
| packages/ui/src/state/hooks                                                                       |          1 |          4 |          0 |          2 |          6 |
| packages/ui/src/state/slices                                                                      |          9 |        376 |         79 |         71 |        526 |
| packages/ui/src/state/store                                                                       |          1 |         63 |          0 |          9 |         72 |
| packages/ui/src/types                                                                             |          1 |         21 |          0 |          5 |         26 |
| packages/ui/src/views                                                                             |         18 |      1,682 |         28 |        128 |      1,838 |
| packages/ui/src/views/admin                                                                       |         14 |      1,531 |         26 |        106 |      1,663 |
| packages/ui/src/views/employee                                                                    |          1 |          5 |          0 |          3 |          8 |
| packages/ui/src/views/evaluator                                                                   |          1 |          5 |          0 |          3 |          8 |
| packages/ui/src/wrappers                                                                          |          1 |          8 |          0 |          4 |         12 |
| scripts                                                                                           |          1 |         12 |          0 |          3 |         15 |
+---------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                          | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| /home/orinda/Documents/dev/nancy-appraisal/README.md                                              | Markdown           |          9 |          0 |          3 |         12 |
| /home/orinda/Documents/dev/nancy-appraisal/components/component2/package.json                     | JSON               |         13 |          0 |          1 |         14 |
| /home/orinda/Documents/dev/nancy-appraisal/components/component2/src/index.ts                     | TypeScript         |         14 |          0 |          3 |         17 |
| /home/orinda/Documents/dev/nancy-appraisal/components/component2/tsconfig.json                    | JSON with Comments |         28 |          0 |          1 |         29 |
| /home/orinda/Documents/dev/nancy-appraisal/components/test-component/index.js                     | JavaScript         |          3 |          5 |          1 |          9 |
| /home/orinda/Documents/dev/nancy-appraisal/components/test-component/package.json                 | JSON               |         13 |          0 |          1 |         14 |
| /home/orinda/Documents/dev/nancy-appraisal/package.json                                           | JSON               |         35 |          0 |          1 |         36 |
| /home/orinda/Documents/dev/nancy-appraisal/packages/bc/README.md                                  | Markdown           |          1 |          0 |          1 |          2 |
| /home/orinda/Documents/dev/nancy-appraisal/packages/bc/node.config.js                             | JavaScript         |         18 |          7 |          3 |         28 |
| /home/orinda/Documents/dev/nancy-appraisal/packages/bc/package.json                               | JSON               |         36 |          0 |          1 |         37 |
| /home/orinda/Documents/dev/nancy-appraisal/packages/bc/pnpm-lock.yaml                             | YAML               |      1,464 |          0 |        195 |      1,659 |
| /home/orinda/Documents/dev/nancy-appraisal/packages/bc/src/api/index.js                           | JavaScript         |         28 |         12 |          4 |         44 |
| /home/orinda/Documents/dev/nancy-appraisal/packages/bc/src/config/index.js                        | JavaScript         |         14 |          7 |          1 |         22 |
| /home/orinda/Documents/dev/nancy-appraisal/packages/bc/src/db/index.js                            | JavaScript         |         35 |          7 |          5 |         47 |
| /home/orinda/Documents/dev/nancy-appraisal/packages/bc/src/errors/ExpressError.js                 | JavaScript         |         18 |          0 |          2 |         20 |
| /home/orinda/Documents/dev/nancy-appraisal/packages/bc/src/errors/errorHandler.js                 | JavaScript         |         37 |          6 |          4 |         47 |
| /home/orinda/Documents/dev/nancy-appraisal/packages/bc/src/index.js                               | JavaScript         |         16 |          7 |          6 |         29 |
| /home/orinda/Documents/dev/nancy-appraisal/packages/bc/src/logger/index.js                        | JavaScript         |        160 |          8 |          8 |        176 |
| /home/orinda/Documents/dev/nancy-appraisal/packages/bc/src/mailer/index.js                        | JavaScript         |         40 |          8 |          5 |         53 |
| /home/orinda/Documents/dev/nancy-appraisal/packages/bc/src/middlewares/loginRequired.js           | JavaScript         |         75 |         27 |          5 |        107 |
| /home/orinda/Documents/dev/nancy-appraisal/packages/bc/src/middlewares/userValidator.js           | JavaScript         |         44 |         36 |          5 |         85 |
| /home/orinda/Documents/dev/nancy-appraisal/packages/bc/src/migrate/index.js                       | JavaScript         |         37 |         10 |          5 |         52 |
| /home/orinda/Documents/dev/nancy-appraisal/packages/bc/src/models/department.model.js             | JavaScript         |         18 |          0 |          3 |         21 |
| /home/orinda/Documents/dev/nancy-appraisal/packages/bc/src/models/designation.model.js            | JavaScript         |         26 |          0 |          2 |         28 |
| /home/orinda/Documents/dev/nancy-appraisal/packages/bc/src/models/evaluation.model.js             | JavaScript         |         37 |          0 |          3 |         40 |
